,Average Rank,Film,Year,Rotten Tomatoes' Top 100
0,1,The Godfather,1972,17
1,2,Citizen Kane,1941,2
2,3,Casablanca,1942,8
3,4,"The Godfather, Part II",1974,99
4,5,Singin' in the Rain,1952,52
5,6,Psycho,1960,88
6,7,Rear Window,1954,47
7,8,Apocalypse Now,1979,unranked
8,9,2001: A Space Odyssey,1968,unranked
9,10,Seven Samurai,1954,49
10,11,Vertigo,1958,unranked
11,12,Sunset Blvd,1950,21
12,13,Modern Times,1936,4
13,14,Lawrence of Arabia,1962,unranked
14,15,North by Northwest,1959,79
15,16,Star Wars,1977,unranked
16,17,Parasite,2019,6
17,18,Schindler's List,1993,unranked
18,19,Lord of the Rings: The Fellowship of the Ring,2001,unranked
19,20,Shawshank Redemption,1994,unranked
20,21,It's a Wonderful Life,1946,unranked
21,22,Pulp Fiction,1994,unranked
22,23,Avengers: Endgame,2019,7
23,24,City Lights,1931,unranked
24,25,One Flew Over the Cuckoo's Nest,1975,unranked
25,26,Goodfellas,1990,unranked
26,27,Raiders of the Lost Ark,1981,unranked
27,28,12 Angry Men,1957,unranked
28,29,The Silence of the Lambs,1991,unranked
29,30,Taxi Driver,1976,unranked
30,31,Saving Private Ryan,1998,unranked
31,32,E.T. the Extra Terrestrial,1982,48
32,33,Alien,1979,84
33,34,Spider-Man: Into the Spider-verse,2018,19
34,35,Blade Runner,1982,unranked
35,36,Double Indemnity,1944,54
36,37,The Dark Knight,2008,unranked
37,38,The Wizard of Oz,1939,3
38,39,Star Wars: Episode V- The Empire Strikes Back,1980,unranked
39,40,The Searchers,1956,unranked
40,41,Mad Max: Fury Road,2015,18
41,42,Inception,2010,unranked
42,43,Lord of the Rings: Return of the King,2003,unranked
43,44,The Matrix,1999,unranked
44,45,Fight Club,1999,unranked
45,46,Back to the Future,1985,unranked
46,47,It Happened One Night,1934,1
47,48,"The Good, the Bad, and the Ugly",1966,unranked
48,49,Lord of the Rings: The Two Towers,2002,unranked
49,50,All About Eve,1950,22
50,51,The General,1926,unranked
51,52,Terminator 2: Judgement Day,1991,unranked
52,53,Se7en,1995,unranked
53,54,Raging Bull,1980,unranked
54,55,Interstellar,2014,unranked
55,56,Jaws,1975,unranked
56,57,Some Like it Hot,1959,unranked
57,58,The Philadelphia Story,1940,24
58,59,Avengers: Infinity War,2018,unranked
59,60,Gladiator,2000,unranked
60,61,On the Waterfront,1954,unranked
61,62,Get Out,2017,15
62,63,Moonlight,2016,20
63,64,Spirited Away,2001,unranked
64,65,Lady Bird,2017,12
65,66,Aliens,1986,unranked
66,67,Forrest Gump,1994,unranked
67,68,Snow White and the Seven Dwarves,1937,56
68,69,Black Panther,2018,5
69,70,Whiplash,2014,unranked
70,71,The Shining,1980,unranked
71,72,Metropolis,1927,63
72,73,The Maltese Falcon,1941,67
73,74,Chinatown,1974,unranked
74,75,The Best Years of Our Lives,1946,62
75,76,Mulholland Drive,2001,unranked
76,77,In the Mood for Love,2000,unranked
77,78,A Quiet Place,2018,29
78,79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,unranked
79,80,Coco,2017,37
80,81,The Third Man,1949,46
81,82,The Usual Suspects,1995,unranked
82,83,La Grande Illusion,1937,50
83,84,Once Upon a Time in the West,1968,unranked
84,85,A Night at the Opera,1935,40
85,86,Logan,2017,34
86,87,Thor: Ragnarok,2017,42
87,88,Léon: The Professional,1994,unranked
88,89,King Kong,1933,85
89,90,Eternal Sunshine of the Spotless Mind,2004,unranked
90,91,Arrival,2016,51
91,92,Portrait of a Lady on Fire,2020,36
92,93,Nashville,1975,unranked
93,94,Intolerance,1916,unranked
94,95,La La Land,2016,78
95,96,Do the Right Thing,unranked,unranked
96,97,Inglourious Basterds,2009,unranked
97,98,The Battle of Algiers,1966,100
98,99,M,1931,unranked
99,100,The Wild Bunch,1969,unranked
